"Domain","Category ID","Category","Category definition","Category prominence n (%)","CSM dimension","Open code (Chinese)","Open code (English)","Open code status","Open code definition (CN)","Inclusion criteria (CN)","Key keywords (CN)"
"Domain 2: Treatment decision-making (n = 215)","D2-1","Prognosis and risk perception","How patients understand the likely course of their disease: the characteristics and prognosis of the histological subtype; nodal involvement, extent of dissection and assessed recurrence risk; the framing of thyroid cancer as a special or benign cancer; and the financial exposure attached to that outlook.","158 (73.5)","Timeline","病理类型与预后认知","histological subtype and prognosis","in initial coding manual","不同病理类型的特征和预后认知","包括：乳头状癌、滤泡癌、髓样癌特征","乳头状/滤泡/髓样/未分化/PTC/FTC"
"Domain 2: Treatment decision-making (n = 215)","D2-1","Prognosis and risk perception","How patients understand the likely course of their disease: the characteristics and prognosis of the histological subtype; nodal involvement, extent of dissection and assessed recurrence risk; the framing of thyroid cancer as a special or benign cancer; and the financial exposure attached to that outlook.","158 (73.5)","Timeline","淋巴结转移与复发风险","nodal metastasis and recurrence risk","in initial coding manual","淋巴结受累及肿瘤复发的风险讨论","包括：淋巴清扫、复发评估、预后判断","淋巴结/转移/清扫/复发/预后"
"Domain 2: Treatment decision-making (n = 215)","D2-1","Prognosis and risk perception","How patients understand the likely course of their disease: the characteristics and prognosis of the histological subtype; nodal involvement, extent of dissection and assessed recurrence risk; the framing of thyroid cancer as a special or benign cancer; and the financial exposure attached to that outlook.","158 (73.5)","Timeline","甲状腺癌特殊化认知","framing of thyroid cancer as an exceptional cancer","in initial coding manual","将甲状腺癌建构为""特殊/友好""的认知框架","包括：""幸福癌""、""懒癌""叙事","幸福癌/懒癌/惰性/不用担心/不可怕"
"Domain 2: Treatment decision-making (n = 215)","D2-1","Prognosis and risk perception","How patients understand the likely course of their disease: the characteristics and prognosis of the histological subtype; nodal involvement, extent of dissection and assessed recurrence risk; the framing of thyroid cancer as a special or benign cancer; and the financial exposure attached to that outlook.","158 (73.5)","Timeline","医疗费用与保险","treatment cost and insurance","in initial coding manual","治疗费用和保险理赔的讨论","包括：医保报销、商业保险、费用比较","保险/理赔/费用/医保/钱/报销"
"Domain 2: Treatment decision-making (n = 215)","D2-2","Surgical, ablation and active surveillance decision","Deliberation over the principal management options: indications for and trade-offs between total and hemithyroidectomy; radiofrequency or microwave ablation as an alternative to surgery, including its indications and controversies; and the decision to enter active surveillance, its eligibility criteria and monitoring interval.","134 (62.3)","Cure/Control (beliefs)","手术切除范围决策","deciding the extent of resection","in initial coding manual","关于全切/半切手术范围的决策讨论","包括：手术指征、利弊权衡、指南参照","全切/半切/切多少/切除范围"
"Domain 2: Treatment decision-making (n = 215)","D2-2","Surgical, ablation and active surveillance decision","Deliberation over the principal management options: indications for and trade-offs between total and hemithyroidectomy; radiofrequency or microwave ablation as an alternative to surgery, including its indications and controversies; and the decision to enter active surveillance, its eligibility criteria and monitoring interval.","134 (62.3)","Cure/Control (beliefs)","消融治疗讨论","discussion of thermal ablation","in initial coding manual","射频/微波消融作为手术替代选择的讨论","包括：消融适应症、效果评估、争议","消融/射频/微波/热消融"
"Domain 2: Treatment decision-making (n = 215)","D2-2","Surgical, ablation and active surveillance decision","Deliberation over the principal management options: indications for and trade-offs between total and hemithyroidectomy; radiofrequency or microwave ablation as an alternative to surgery, including its indications and controversies; and the decision to enter active surveillance, its eligibility criteria and monitoring interval.","134 (62.3)","Cure/Control (beliefs)","主动监测决策","deciding on active surveillance","in initial coding manual","选择不手术主动监测的决策过程","包括：观察标准、心理准备、监测频率","观察/主动监测/不手术/先观察"
"Domain 2: Treatment decision-making (n = 215)","D2-3","Adjuvant therapy decision","Decisions about treatment following the primary intervention: whether radioiodine therapy is indicated and necessary; and how thyroid hormone replacement and TSH-suppressive therapy should be targeted and adjusted for the long term.","74 (34.4)","Cure/Control (beliefs)","甲状腺激素替代与抑制治疗","hormone replacement and TSH suppression","in initial coding manual","术后激素替代治疗的管理讨论","包括：TSH抑制目标、剂量调整、长期用药","优甲乐/TSH/剂量/服药/替代治疗/抑制"
"Domain 2: Treatment decision-making (n = 215)","D2-3","Adjuvant therapy decision","Decisions about treatment following the primary intervention: whether radioiodine therapy is indicated and necessary; and how thyroid hormone replacement and TSH-suppressive therapy should be targeted and adjusted for the long term.","74 (34.4)","Cure/Control (beliefs)","碘131治疗决策","deciding on radioiodine (I-131) therapy","in initial coding manual","是否接受碘131治疗的决策","包括：适应症判断、治疗必要性讨论","碘131/碘治疗/放射碘"
"Domain 2: Treatment decision-making (n = 215)","D2-4","Diagnostic appraisal and evidence","Use of external evidence to inform a decision: citation of clinical practice guidelines and published research such as ATA recommendations and Japanese surveillance data; interpretation of ultrasound, cytology and TI-RADS reports; seeking and reconciling opinions from more than one institution; and drawing on others' surgical accounts.","51 (23.7)","Cure/Control (beliefs)","循证指南与医学证据","clinical guidelines and published evidence","in initial coding manual","引用临床指南或研究证据的讨论","包括：ATA指南、日本数据、文献引用","指南/ATA/标准/规范/循证/文献/研究"
"Domain 2: Treatment decision-making (n = 215)","D2-4","Diagnostic appraisal and evidence","Use of external evidence to inform a decision: citation of clinical practice guidelines and published research such as ATA recommendations and Japanese surveillance data; interpretation of ultrasound, cytology and TI-RADS reports; seeking and reconciling opinions from more than one institution; and drawing on others' surgical accounts.","51 (23.7)","Cure/Control (beliefs)","诊断检查与结果解读","interpretation of diagnostic tests","in initial coding manual","诊断性检查的解读和理解","包括：超声结果、穿刺报告、TI-RADS","B超/超声/穿刺/活检/结节/TI-RADS"
"Domain 2: Treatment decision-making (n = 215)","D2-4","Diagnostic appraisal and evidence","Use of external evidence to inform a decision: citation of clinical practice guidelines and published research such as ATA recommendations and Japanese surveillance data; interpretation of ultrasound, cytology and TI-RADS reports; seeking and reconciling opinions from more than one institution; and drawing on others' surgical accounts.","51 (23.7)","Cure/Control (beliefs)","多方意见与就医选择","seeking multiple clinical opinions","in initial coding manual","寻求多方医疗意见和比较的经历","包括：多家医院、专家意见冲突","医生建议/专家/多家医院/二次意见"
"Domain 2: Treatment decision-making (n = 215)","D2-4","Diagnostic appraisal and evidence","Use of external evidence to inform a decision: citation of clinical practice guidelines and published research such as ATA recommendations and Japanese surveillance data; interpretation of ultrasound, cytology and TI-RADS reports; seeking and reconciling opinions from more than one institution; and drawing on others' surgical accounts.","51 (23.7)","Cure/Control (beliefs)","外科手术经历叙述","accounts of others' surgery","in initial coding manual","外科手术的准备、过程、康复叙述","包括：全切/半切、腔镜手术经历","手术/全切/半切/腔镜/机器人"
"Domain 2: Treatment decision-making (n = 215)","D2-5","Decisional distress","Burden arising from the decision rather than from the disease: the difficulty, indecision and helplessness generated by conflicting advice; and disputes with providers and associated legal concerns.","19 (8.8)","Timeline; Emotional representation","治疗决策中的心理焦虑","anxiety within treatment decision-making","in initial coding manual","在治疗决策过程中的心理困境","包括：纠结、无助、多方意见冲突","焦虑/担心/纠结/决定不了"
"Domain 2: Treatment decision-making (n = 215)","D2-5","Decisional distress","Burden arising from the decision rather than from the disease: the difficulty, indecision and helplessness generated by conflicting advice; and disputes with providers and associated legal concerns.","19 (8.8)","Timeline; Emotional representation","医疗纠纷与法律","medical disputes and legal concerns","added during coding (not in the initial manual; definition and criteria reconstructed from the coded material)","因治疗决策或治疗结果与医方发生的争议，以及由此产生的维权与法律层面的关切","包括：与医方的争议与投诉、维权与法律咨询、对纠纷后果的担忧。不包括：对医患沟通质量的一般性评价（归 D5-3）","纠纷/投诉/维权/打官司/律师/医闹/赔偿"
"Domain 3: Diagnostic appraisal (n = 164)","D3-1","Nodule characterisation and diagnosis","Establishing what an incidental nodule is: interpretation of ultrasound features including TI-RADS category, calcification and echogenicity; determination of benign versus malignant status through cytology and pathology; and serial monitoring of nodule size.","145 (88.4)","Illness identity","结节超声特征解读","interpreting ultrasound features","in initial coding manual","对甲状腺超声报告特征的解读","包括：TI-RADS分级、钙化特征、回声","结节/B超/超声/TI-RADS/钙化/低回声"
"Domain 3: Diagnostic appraisal (n = 164)","D3-1","Nodule characterisation and diagnosis","Establishing what an incidental nodule is: interpretation of ultrasound features including TI-RADS category, calcification and echogenicity; determination of benign versus malignant status through cytology and pathology; and serial monitoring of nodule size.","145 (88.4)","Illness identity","良恶性诊断判断","judging benign versus malignant","in initial coding manual","判断结节良恶性的方法和标准讨论","包括：穿刺活检、癌变风险、病理报告","癌变/恶性/良性/穿刺/活检/病理/确诊"
"Domain 3: Diagnostic appraisal (n = 164)","D3-1","Nodule characterisation and diagnosis","Establishing what an incidental nodule is: interpretation of ultrasound features including TI-RADS category, calcification and echogenicity; determination of benign versus malignant status through cytology and pathology; and serial monitoring of nodule size.","145 (88.4)","Illness identity","结节大小动态监测","serial monitoring of nodule size","in initial coding manual","对结节大小变化的监测与解读","包括：毫米变化、增大/缩小判断","结节大小/毫米/厘米/cm/mm/增大/缩小"
"Domain 3: Diagnostic appraisal (n = 164)","D3-2","Intervention timing and pathway","When and on what grounds to act on a finding: surgical indications and intervention thresholds; searching for and comparing treatment options; and general orientation to thyroid disease information.","65 (39.6)","Illness identity; Cure/Control (beliefs)","干预时机与标准判断","timing of and threshold for intervention","in initial coding manual","何时需要干预处理结节的判断","包括：手术指征、干预阈值","干预/治疗/手术时机/多大才需要"
"Domain 3: Diagnostic appraisal (n = 164)","D3-2","Intervention timing and pathway","When and on what grounds to act on a finding: surgical indications and intervention thresholds; searching for and comparing treatment options; and general orientation to thyroid disease information.","65 (39.6)","Illness identity; Cure/Control (beliefs)","治疗方式信息搜索","searching for treatment information","in initial coding manual","对治疗选项的信息搜索行为","包括：手术方式比较、消融了解","手术/手术方式/全切/半切/消融/是否手术"
"Domain 3: Diagnostic appraisal (n = 164)","D3-2","Intervention timing and pathway","When and on what grounds to act on a finding: surgical indications and intervention thresholds; searching for and comparing treatment options; and general orientation to thyroid disease information.","65 (39.6)","Illness identity; Cure/Control (beliefs)","甲状腺相关信息一般性描述","general thyroid information","added during coding (not in the initial manual; definition and criteria reconstructed from the coded material)","未指向个人具体决策的甲状腺疾病一般性信息陈述与科普转述","包括：疾病、检查或治疗方式的一般性介绍与科普转述。不包括：结合本人检查结果的解读（归 D3-1）、明确的指南或研究引用（归 D2-4）","甲状腺/科普/介绍/一般来说/常见/分为"
"Domain 3: Diagnostic appraisal (n = 164)","D3-3","Aetiology and risk factor awareness","Attempts to explain why the condition arose: recognised risk factors such as iodine intake, radiation, heredity and selenium; circadian disruption, night-time light exposure and melatonin; lay theories linking gut microbiota to thyroid function; and awareness of rising incidence and detection rates.","50 (30.5)","Cause","甲状腺疾病风险因素","risk factors for thyroid disease","in initial coding manual","甲状腺疾病的致病危险因素","包括：碘摄入、辐射、遗传、硒元素","危险因素/碘/硒/辐射/遗传/基因/环境"
"Domain 3: Diagnostic appraisal (n = 164)","D3-3","Aetiology and risk factor awareness","Attempts to explain why the condition arose: recognised risk factors such as iodine intake, radiation, heredity and selenium; circadian disruption, night-time light exposure and melatonin; lay theories linking gut microbiota to thyroid function; and awareness of rising incidence and detection rates.","50 (30.5)","Cause","生物节律与癌症风险","circadian rhythm and cancer risk","in initial coding manual","昼夜节律紊乱与甲状腺癌风险","包括：夜间灯光、褪黑素、睡眠","节律/昼夜/褪黑/睡眠/光照/生物钟"
"Domain 3: Diagnostic appraisal (n = 164)","D3-3","Aetiology and risk factor awareness","Attempts to explain why the condition arose: recognised risk factors such as iodine intake, radiation, heredity and selenium; circadian disruption, night-time light exposure and melatonin; lay theories linking gut microbiota to thyroid function; and awareness of rising incidence and detection rates.","50 (30.5)","Cause","肠道微生态与甲状腺","gut microbiota and thyroid function","in initial coding manual","肠道健康与甲状腺功能的关联","包括：肠道菌群、肠漏、益生菌","肠道/菌群/微生物/益生菌/肠漏"
"Domain 3: Diagnostic appraisal (n = 164)","D3-3","Aetiology and risk factor awareness","Attempts to explain why the condition arose: recognised risk factors such as iodine intake, radiation, heredity and selenium; circadian disruption, night-time light exposure and melatonin; lay theories linking gut microbiota to thyroid function; and awareness of rising incidence and detection rates.","50 (30.5)","Cause","流行病学认知","awareness of incidence trends","in initial coding manual","对甲状腺疾病发病率的认知","包括：高发趋势、检出率数据","发病率/流行病/数据/统计/普查/高发"
"Domain 3: Diagnostic appraisal (n = 164)","D3-4","Imaging and comorbidity concern","Concern about coexisting thyroid disease alongside the nodule itself, including hyperthyroidism, hypothyroidism and Hashimoto's thyroiditis.","36 (22.0)","Illness identity","甲状腺相关疾病并发","coexisting thyroid disease","in initial coding manual","甲状腺结节与其他甲状腺疾病的关联","包括：甲亢、甲减、桥本氏甲状腺炎","甲亢/甲减/桥本/甲状腺炎/自身免疫"
"Domain 3: Diagnostic appraisal (n = 164)","D3-5","Diagnostic anxiety and coping","Emotional response to diagnostic uncertainty, including anxiety following a health-check finding and fear while awaiting confirmation.","35 (21.3)","Illness identity; Emotional representation","诊断相关心理焦虑","diagnosis-related anxiety","in initial coding manual","发现结节/诊断后的心理反应","包括：体检后焦虑、确诊恐惧","焦虑/恐惧/害怕/担心/崩溃/心理"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-1","Overtreatment and commercialisation critique","Criticism of the prevailing management of low-risk thyroid disease: systematic overinvestigation and unnecessary surgery; the design and misuse of population health-check screening; the commercial interests seen to drive overdiagnosis; and commentary on the health system more broadly.","53 (42.1)","Cure/Control (beliefs)","过度医疗批判","critique of overtreatment","in initial coding manual","对甲状腺疾病系统性过度诊疗的批判","包括：过度筛查、不必要手术","过度检查/过度治疗/过度筛查/滥查"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-1","Overtreatment and commercialisation critique","Criticism of the prevailing management of low-risk thyroid disease: systematic overinvestigation and unnecessary surgery; the design and misuse of population health-check screening; the commercial interests seen to drive overdiagnosis; and commentary on the health system more broadly.","53 (42.1)","Cure/Control (beliefs)","体检筛查制度批判","critique of health-check screening","in initial coding manual","对中国体检筛查制度问题的批判","包括：体检项目滥用、机构利益","体检/筛查/普查/体检机构/体检项目"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-1","Overtreatment and commercialisation critique","Criticism of the prevailing management of low-risk thyroid disease: systematic overinvestigation and unnecessary surgery; the design and misuse of population health-check screening; the commercial interests seen to drive overdiagnosis; and commentary on the health system more broadly.","53 (42.1)","Cure/Control (beliefs)","医疗商业化与利益批判","critique of commercialisation and vested interests","in initial coding manual","对医疗商业化驱动过度诊疗的批判","包括：医院利益、割韭菜","医疗体制/利益/商业/挣钱/割韭菜"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-1","Overtreatment and commercialisation critique","Criticism of the prevailing management of low-risk thyroid disease: systematic overinvestigation and unnecessary surgery; the design and misuse of population health-check screening; the commercial interests seen to drive overdiagnosis; and commentary on the health system more broadly.","53 (42.1)","Cure/Control (beliefs)","医疗系统相关内容","commentary on the health system","added during coding (not in the initial manual; definition and criteria reconstructed from the coded material)","对医疗服务提供方式与制度层面因素的评论，作为过度诊疗与商业化批评的语境","包括：对体检与筛查制度、医疗资源配置、机构逐利倾向的评论。不包括：个人就医流程与导航（归 D5-2）、费用与报销的个人经验（归 D5-4）","体检/筛查/制度/医院/科室/创收/指标"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-2","Microcarcinoma active surveillance advocacy","Argument for observation rather than immediate surgery in low-risk papillary microcarcinoma: advocacy for active surveillance and its eligibility and monitoring data; the controversy over operating on sub-centimetre cancers; and understanding of doubling time and indolent growth.","64 (50.8)","Cure/Control (beliefs); Timeline","主动监测策略倡导","advocacy for active surveillance","in initial coding manual","倡导不手术主动监测的内容","包括：观察适应症、监测数据","观察/主动监测/不手术/随访/等待"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-2","Microcarcinoma active surveillance advocacy","Argument for observation rather than immediate surgery in low-risk papillary microcarcinoma: advocacy for active surveillance and its eligibility and monitoring data; the controversy over operating on sub-centimetre cancers; and understanding of doubling time and indolent growth.","64 (50.8)","Cure/Control (beliefs); Timeline","微小癌治疗争议","controversy over treating microcarcinoma","in initial coding manual","微小甲状腺癌过度手术的争议","包括：<1cm癌、观察vs手术","微小癌/乳头状/小于一厘米"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-2","Microcarcinoma active surveillance advocacy","Argument for observation rather than immediate surgery in low-risk papillary microcarcinoma: advocacy for active surveillance and its eligibility and monitoring data; the controversy over operating on sub-centimetre cancers; and understanding of doubling time and indolent growth.","64 (50.8)","Cure/Control (beliefs); Timeline","肿瘤生长动态认知","understanding of tumour growth dynamics","in initial coding manual","甲状腺癌增长速度和惰性的认知","包括：倍增时间、进展缓慢","倍增/增长速度/进展/缓慢/惰性"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-3","Evidence-based information and KOL reference","Sourcing of authority for a position: reference to international guidelines and standards such as ATA recommendations, Japanese surveillance data and WHO guidance; and reference to medical key opinion leaders encountered online.","49 (38.9)","Cure/Control (beliefs)","国际指南与标准参照","reference to international guidelines","in initial coding manual","参照国际医学指南的讨论","包括：ATA指南、日本数据、WHO推荐","指南/WHO/ATA/国际标准/美国/日本"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-3","Evidence-based information and KOL reference","Sourcing of authority for a position: reference to international guidelines and standards such as ATA recommendations, Japanese surveillance data and WHO guidance; and reference to medical key opinion leaders encountered online.","49 (38.9)","Cure/Control (beliefs)","医疗KOL信息参照","reference to medical key opinion leaders","in initial coding manual","引用医疗KOL内容作为决策参考","包括：温哥华小文青等KOL内容","温哥华小文青/文青/KOL/医疗科普"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-4","Radiation risk and screening harm","Harms arising from investigation rather than from disease: radiation dose from medical imaging and its perceived carcinogenic risk; and the quality of investigation, including missed diagnosis and procedural standards.","13 (10.3)","Cure/Control (beliefs)","医疗辐射风险","radiation risk from imaging","in initial coding manual","医疗检查中辐射风险的讨论","包括：CT辐射量、致癌风险","辐射/CT/X光/剂量/癌症风险"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-4","Radiation risk and screening harm","Harms arising from investigation rather than from disease: radiation dose from medical imaging and its perceived carcinogenic risk; and the quality of investigation, including missed diagnosis and procedural standards.","13 (10.3)","Cure/Control (beliefs)","医疗质量与误诊风险","care quality and misdiagnosis risk","in initial coding manual","医疗机构检查质量和误诊问题","包括：漏诊、操作规范","漏诊/误诊/错误/质量/操作规范"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-5","Ablation appraisal and provider choice","Appraisal of ablation together with the burdens that accompany appraisal itself: indications for and outcomes of radiofrequency and microwave ablation; the psychological burden generated by unnecessary screening; and guidance on identifying an appropriate institution or specialist.","51 (40.5)","Cure/Control (beliefs); Emotional representation","消融治疗信息讨论","discussion of ablation","in initial coding manual","消融治疗的适应症和效果讨论","包括：射频消融、微波消融","消融/射频/微波/创伤小/微创"
